,national_number,gen,english_name,japanese_name,classification,primary_type,secondary_type,description,col_name,egg_group,color,habitat,shape
443,444,IV,Gabite,Gabite,Cave Pokémon,dragon,ground,This Pokémon emits ultrasonic waves from a protrusion on either side of its head to probe pitch-dark caves.,,dragon,blue,,upright
444,445,IV,Garchomp,Gaburias,Mach Pokémon,dragon,ground,"Garchomp makes its home in volcanic mountains. It flies through the sky as fast as a jet airplane, hunting down as much prey as it can.",,dragon,blue,,upright
445,446,IV,Munchlax,Gonbe,Big Eater Pokémon,normal,,"Stuffing itself with vast amounts of food is its only concern. Whether the food is rotten or fresh, yummy or tasteless—it does not care.",,no-eggs,black,,humanoid
446,447,IV,Riolu,Riolu,Emanation Pokémon,fighting,,"It’s exceedingly energetic, with enough stamina to keep running all through the night. Taking it for walks can be a challenging experience.",,no-eggs,blue,,upright
447,448,IV,Lucario,Lucario,Aura Pokémon,fighting,steel,"It controls waves known as auras, which are powerful enough to pulverize huge rocks. It uses these waves to take down its prey.",,humanshape,blue,,upright
448,449,IV,Hippopotas,Hippopotas,Hippo Pokémon,ground,,"It moves through the sands with its mouth open, swallowing sand along with its prey. It gets rid of the sand by spouting it from its nose.",,ground,brown,,quadruped
449,450,IV,Hippowdon,Kabaldon,Heavyweight Pokémon,ground,,"Stones can get stuck in the ports on their bodies. Dwebble help dislodge such stones, so Hippowdon look after these Pokémon.",,ground,brown,,quadruped
450,451,IV,Skorupi,Scorupi,Scorpion Pokémon,poison,bug,"After burrowing into the sand, it waits patiently for prey to come near. This Pokémon and Sizzlipede share common descent.",,water3,purple,,armor
451,452,IV,Drapion,Dorapion,Ogre Scorp Pokémon,poison,dark,"Its poison is potent, but it rarely sees use. This Pokémon prefers to use physical force instead, going on rampages with its car-crushing strength.",,water3,purple,,armor
452,453,IV,Croagunk,Gureggru,Toxic Mouth Pokémon,poison,fighting,"It makes frightening noises with its poison-filled cheek sacs. When opponents flinch, Croagunk hits them with a poison jab.",,humanshape,blue,,humanoid
453,454,IV,Toxicroak,Dokurog,Toxic Mouth Pokémon,poison,fighting,It bounces toward opponents and gouges them with poisonous claws. No more than a scratch is needed to knock out its adversaries.,,humanshape,blue,,humanoid
454,455,IV,Carnivine,Muskippa,Bug Catcher Pokémon,grass,,"It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey.",,plant,green,,tentacles
455,456,IV,Finneon,Keikouo,Wing Fish Pokémon,water,,"When night falls, their pink patterns begin to shine. They’re popular with divers, so there are resorts that feed them to keep them close.",,water2,blue,,fish
456,457,IV,Lumineon,Neolant,Neon Pokémon,water,,"Deep down at the bottom of the ocean, prey is scarce. Lumineon get into fierce disputes with Lanturn over food.",,water2,blue,,fish
457,458,IV,Mantyke,Tamanta,Kite Pokémon,water,flying,Mantyke living in Galar seem to be somewhat sluggish. The colder waters of the seas in this region may be the cause.,,no-eggs,blue,,wings
458,459,IV,Snover,Yukikaburi,Frosted Tree Pokémon,grass,ice,It lives on snowy mountains. It sinks its legs into the snow to absorb water and keep its own temperature down.,,plant,white,,upright
459,460,IV,Abomasnow,Yukinooh,Frosted Tree Pokémon,grass,ice,"If it sees any packs of Darumaka going after Snover, it chases them off, swinging its sizable arms like hammers.",,plant,white,,upright
460,461,IV,Weavile,Manyula,Sharp Claw Pokémon,dark,ice,They attack their quarry in packs. Prey as large as Mamoswine easily fall to the teamwork of a group of Weavile.,,ground,black,,upright
461,462,IV,Magnezone,Jibacoil,Magnet Area Pokémon,electric,steel,Some say that Magnezone receives signals from space via the antenna on its head and that it’s being controlled by some mysterious being.,,mineral,gray,,arms
462,463,IV,Lickilicky,Berobelt,Licking Pokémon,normal,,Lickilicky’s strange tongue can stretch to many times the length of its body. No one has figured out how Lickilicky’s tongue can stretch so far.,,monster,pink,,humanoid
463,464,IV,Rhyperior,Dosidon,Drill Pokémon,ground,rock,It can load up to three projectiles per arm into the holes in its hands. What launches out of those holes could be either rocks or Roggenrola.,,ground,gray,,upright
464,465,IV,Tangrowth,Mojumbo,Vine Pokémon,grass,,"Tangrowth has two arms that it can extend as it pleases. Recent research has shown that these arms are, in fact, bundles of vines.",,plant,blue,,humanoid
465,466,IV,Electivire,Elekible,Thunderbolt Pokémon,electric,,The amount of electrical energy this Pokémon produces is proportional to the rate of its pulse. The voltage jumps while Electivire is battling.,,humanshape,yellow,,upright
466,467,IV,Magmortar,Booburn,Blast Pokémon,fire,,"When Magmortar inhales deeply, the fire burning in its belly intensifies, rising in temperature to over 3,600 degrees Fahrenheit.",,humanshape,red,,upright
467,468,IV,Togekiss,Togekiss,Jubilee Pokémon,fairy,flying,"These Pokémon are never seen anywhere near conflict or turmoil. In recent times, they’ve hardly been seen at all.",,fairy,white,,wings
468,469,IV,Yanmega,Megayanma,Ogre Darner Pokémon,bug,flying,It prefers to battle by biting apart foes’ heads instantly while flying by at high speed.,,bug,green,,bug-wings
469,470,IV,Leafeon,Leafia,Verdant Pokémon,grass,,Galarians favor the distinctive aroma that drifts from this Pokémon’s leaves. There’s a popular perfume made using that scent.,,ground,green,,quadruped
470,471,IV,Glaceon,Glacia,Fresh Snow Pokémon,ice,,Any who become captivated by the beauty of the snowfall that Glaceon creates will be frozen before they know it.,,ground,blue,,quadruped
471,472,IV,Gliscor,Glion,Fang Scorp Pokémon,ground,flying,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!",,bug,purple,,wings
472,473,IV,Mamoswine,Mammoo,Twin Tusk Pokémon,ice,ground,"This Pokémon can be spotted in wall paintings from as far back as 10,000 years ago. For a while, it was thought to have gone extinct.",,ground,brown,,quadruped
473,474,IV,Porygon-Z,Porygon-z,Virtual Pokémon,normal,,"Porygon-Z had a program installed to allow it to move between dimensions, but the program also caused instability in Porygon-Z’s behavior.",,mineral,red,,arms
474,475,IV,Gallade,Erureido,Blade Pokémon,psychic,fighting,"True to its honorable-warrior image, it uses the blades on its elbows only in defense of something or someone.",,indeterminate,white,,humanoid
475,476,IV,Probopass,Dainose,Compass Pokémon,rock,steel,"Although it can control its units known as Mini-Noses, they sometimes get lost and don’t come back.",,mineral,gray,,heads
476,477,IV,Dusknoir,Yonoir,Gripper Pokémon,ghost,,"At the bidding of transmissions from the spirit world, it steals people and Pokémon away. No one knows whether it has a will of its own.",,indeterminate,black,,arms
477,478,IV,Froslass,Yukimenoko,Snow Land Pokémon,ice,ghost,"After a woman met her end on a snowy mountain, her regrets lingered on. From them, this Pokémon was born. Its favorite food is frozen souls.",,mineral,white,,arms
478,479,IV,Rotom,Rotom,Plasma Pokémon,electric,ghost,One boy’s invention led to the development of many different machines that take advantage of Rotom’s unique capabilities.,,indeterminate,red,,ball
479,480,IV,Uxie,Yuxie,Knowledge Pokémon,psychic,,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.,,no-eggs,yellow,,upright
480,481,IV,Mesprit,Emrit,Emotion Pokémon,psychic,,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy.",,no-eggs,pink,,upright
481,482,IV,Azelf,Agnome,Willpower Pokémon,psychic,,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.,,no-eggs,blue,,upright
482,483,IV,Dialga,Dialga,Temporal Pokémon,steel,dragon,A Pokémon spoken of in legend. It is said that time began moving when Dialga was born.,,no-eggs,white,,quadruped
483,484,IV,Palkia,Palkia,Spatial Pokémon,water,dragon,It is said to live in a gap in the spatial dimension parallel to ours. It appears in mythology.,,no-eggs,purple,,upright
484,485,IV,Heatran,Heatran,Lava Dome Pokémon,fire,steel,It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.,,no-eggs,brown,,quadruped
485,486,IV,Regigigas,Regigigas,Colossal Pokémon,normal,,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma.",,no-eggs,white,,humanoid
486,487,IV,Giratina,Giratina,Renegade Pokémon,ghost,dragon,"This Pokémon is said to live in a world on the reverse side of ours, where common knowledge is distorted and strange.",,no-eggs,black,,tentacles
487,488,IV,Cresselia,Cresselia,Lunar Pokémon,psychic,,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.,,no-eggs,yellow,,squiggle
488,489,IV,Phione,Phione,Sea Drifter Pokémon,water,,"When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs.",,fairy,blue,,arms
489,490,IV,Manaphy,Manaphy,Seafaring Pokémon,water,,It is born with a wondrous power that lets it bond with any kind of Pokémon.,,fairy,blue,,humanoid
490,491,IV,Darkrai,Darkrai,Pitch-Black Pokémon,dark,,"It chases people and Pokémon from its territory by causing them to experience deep, nightmarish slumbers.",,no-eggs,black,,humanoid
491,492,IV,Shaymin,Shaymin,Gratitude Pokémon,grass,grass,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.,,no-eggs,green,,quadruped
492,493,IV,Arceus,Arceus,Alpha Pokémon,normal,,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world.",,no-eggs,white,,quadruped
493,494,V,Victini,Victini,Victory Pokémon,psychic,fire,"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter.",,no-eggs,yellow,,humanoid
494,495,V,Snivy,Tsutarja,Grass Snake Pokémon,grass,,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.,,plant,green,,upright
495,496,V,Servine,Janovy,Grass Snake Pokémon,grass,,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip.",,plant,green,,upright
496,497,V,Serperior,Jalorda,Regal Pokémon,grass,,It only gives its all against strong opponents who are not fazed by the glare from Serperior’s noble eyes.,,plant,green,,squiggle
497,498,V,Tepig,Pokabu,Fire Pig Pokémon,fire,,It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.,,ground,red,,quadruped
498,499,V,Pignite,Chaoboo,Fire Pig Pokémon,fire,fighting,"The more it eats, the more fuel it has to make the fire in its stomach stronger. This fills it with even more power.",,ground,red,,upright
499,500,V,Emboar,Enbuoh,Mega Fire Pig Pokémon,fire,fighting,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.,,ground,red,,upright
500,501,V,Oshawott,Mijumaru,Sea Otter Pokémon,water,,The scalchop on its stomach isn’t just used for battle—it can be used to break open hard berries as well.,,ground,blue,,upright
501,502,V,Dewott,Futachimaru,Discipline Pokémon,water,,Strict training is how it learns its flowing double-scalchop technique.,,ground,blue,,upright
502,503,V,Samurott,Daikenki,Formidable Pokémon,water,,"In the time it takes a foe to blink, it can draw and sheathe the seamitars attached to its front legs.",,ground,blue,,quadruped
503,504,V,Patrat,Minezumi,Scout Pokémon,normal,,"Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others.",,ground,brown,,quadruped
504,505,V,Watchog,Miruhog,Lookout Pokémon,normal,,"Using luminescent matter, it makes its eyes and body glow and stuns attacking opponents.",,ground,brown,,upright
505,506,V,Lillipup,Yorterrie,Puppy Pokémon,normal,,This Pokémon is courageous but also cautious. It uses the soft fur covering its face to collect information about its surroundings.,,ground,brown,,quadruped
506,507,V,Herdier,Herderrie,Loyal Dog Pokémon,normal,,Herdier is a very smart and friendly Pokémon. So much so that there’s a theory that Herdier was the first Pokémon to partner with people.,,ground,gray,,quadruped
507,508,V,Stoutland,Mooland,Big-Hearted Pokémon,normal,,These Pokémon seem to enjoy living with humans. Even a Stoutland caught in the wild will warm up to people in about three days.,,ground,gray,,quadruped
508,509,V,Purrloin,Choroneko,Devious Pokémon,dark,,It steals things from people just to amuse itself with their frustration. A rivalry exists between this Pokémon and Nickit.,,ground,purple,,quadruped
509,510,V,Liepard,Lepardas,Cruel Pokémon,dark,,Don’t be fooled by its gorgeous fur and elegant figure. This is a moody and vicious Pokémon.,,ground,purple,,quadruped
510,511,V,Pansage,Yanappu,Grass Monkey Pokémon,grass,,It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress.,,ground,green,,upright
511,512,V,Simisage,Yanakkie,Thorn Monkey Pokémon,grass,,It attacks enemies with strikes of its thorn-covered tail. This Pokémon is wild tempered.,,ground,green,,upright
512,513,V,Pansear,Baoppu,High Temp Pokémon,fire,,"Very intelligent, it roasts berries before eating them. It likes to help people.",,ground,red,,upright
513,514,V,Simisear,Baokkie,Ember Pokémon,fire,,A flame burns inside its body. It scatters embers from its head and tail to sear its opponents.,,ground,red,,upright
514,515,V,Panpour,Hiyappu,Spray Pokémon,water,,The water stored inside the tuft on its head is full of nutrients. It waters plants with it using its tail.,,ground,blue,,upright
515,516,V,Simipour,Hiyakkie,Geyser Pokémon,water,,"The high-pressure water expelled from its tail is so powerful, it can destroy a concrete wall.",,ground,blue,,upright
516,517,V,Munna,Munna,Dream Eater Pokémon,psychic,,"Late at night, it appears beside people’s pillows. As it feeds on dreams, the patterns on its body give off a faint glow.",,ground,pink,,quadruped
517,518,V,Musharna,Musharna,Drowsing Pokémon,psychic,,"When dark mists emanate from its body, don’t get too near. If you do, your nightmares will become reality.",,ground,pink,,humanoid
518,519,V,Pidove,Mamepato,Tiny Pigeon Pokémon,normal,flying,"Where people go, these Pokémon follow. If you’re scattering food for them, be careful—several hundred of them can gather at once.",,flying,gray,,wings
519,520,V,Tranquill,Hatoboh,Wild Pigeon Pokémon,normal,flying,"It can fly moderately quickly. No matter how far it travels, it can always find its way back to its master and its nest.",,flying,gray,,wings
520,521,V,Unfezant,Kenhallow,Proud Pokémon,normal,flying,"Unfezant are exceptional fliers. The females are known for their stamina, while the males outclass them in terms of speed.",,flying,gray,,wings
521,522,V,Blitzle,Shimama,Electrified Pokémon,electric,,"When thunderclouds cover the sky, it will appear. It can catch lightning with its mane and store the electricity.",,ground,black,,quadruped
522,523,V,Zebstrika,Zebraika,Thunderbolt Pokémon,electric,,"When this ill-tempered Pokémon runs wild, it shoots lightning from its mane in all directions.",,ground,black,,quadruped
523,524,V,Roggenrola,Dangoro,Mantle Pokémon,rock,,"It’s as hard as steel, but apparently a long soak in water will cause it to soften a bit.",,mineral,blue,,legs
524,525,V,Boldore,Gantle,Ore Pokémon,rock,,"If you see its orange crystals start to glow, be wary. It’s about to fire off bursts of energy.",,mineral,blue,,tentacles
525,526,V,Gigalith,Gigaiath,Compressed Pokémon,rock,,"This hardy Pokémon can often be found on construction sites and in mines, working alongside people and Copperajah.",,mineral,blue,,tentacles
526,527,V,Woobat,Koromori,Bat Pokémon,psychic,flying,"While inside a cave, if you look up and see lots of heart-shaped marks lining the walls, it’s evidence that Woobat live there.",,ground,blue,,wings
527,528,V,Swoobat,Kokoromori,Courting Pokémon,psychic,flying,"Emitting powerful sound waves tires it out. Afterward, it won’t be able to fly for a little while.",,ground,blue,,wings
528,529,V,Drilbur,Mogurew,Mole Pokémon,ground,,It brings its claws together and whirls around at high speed before rushing toward its prey.,,ground,gray,,upright
529,530,V,Excadrill,Doryuzu,Subterrene Pokémon,ground,steel,It’s not uncommon for tunnels that appear to have formed naturally to actually be a result of Excadrill’s rampant digging.,,ground,gray,,humanoid
530,531,V,Audino,Tabunne,Hearing Pokémon,normal,,Audino’s sense of hearing is superb. Not even a pebble rolling along over a mile away will escape Audino’s ears.,,fairy,pink,,upright
531,532,V,Timburr,Dokkorer,Muscular Pokémon,fighting,,"It loves helping out with construction projects. It loves it so much that if rain causes work to halt, it swings its log around and throws a tantrum.",,humanshape,gray,,humanoid
532,533,V,Gurdurr,Dotekkotsu,Muscular Pokémon,fighting,,"It shows off its muscles to Machoke and other Gurdurr. If it fails to measure up to the other Pokémon, it lies low for a little while.",,humanshape,gray,,humanoid
533,534,V,Conkeldurr,Roubushin,Muscular Pokémon,fighting,,"Concrete mixed by Conkeldurr is much more durable than normal concrete, even when the compositions of the two materials are the same.",,humanshape,brown,,humanoid
534,535,V,Tympole,Otamaro,Tadpole Pokémon,water,,Graceful ripples running across the water’s surface are a sure sign that Tympole are singing in high-pitched voices below.,,water1,blue,,fish
535,536,V,Palpitoad,Gamagaru,Vibration Pokémon,water,ground,"It weakens its prey with sound waves intense enough to cause headaches, then entangles them with its sticky tongue.",,water1,blue,,upright
536,537,V,Seismitoad,Gamageroge,Vibration Pokémon,water,ground,The vibrating of the bumps all over its body causes earthquake-like tremors. Seismitoad and Croagunk are similar species.,,water1,blue,,humanoid
537,538,V,Throh,Nageki,Judo Pokémon,fighting,,"It performs throwing moves with first-rate skill. Over the course of many battles, Throh’s belt grows darker as it absorbs its wearer’s sweat.",,humanshape,red,,humanoid
538,539,V,Sawk,Dageki,Karate Pokémon,fighting,,"If you see a Sawk training in the mountains in its single-minded pursuit of strength, it’s best to quietly pass by.",,humanshape,blue,,humanoid
539,540,V,Sewaddle,Kurumiru,Sewing Pokémon,bug,grass,This Pokémon makes clothes for itself. It chews up leaves and sews them with sticky thread extruded from its mouth.,,bug,yellow,,armor
540,541,V,Swadloon,Kurumayu,Leaf-Wrapped Pokémon,bug,grass,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,,bug,green,,arms
541,542,V,Leavanny,Hahakomori,Nurturing Pokémon,bug,grass,"Upon finding a small Pokémon, it weaves clothing for it from leaves by using the sticky silk secreted from its mouth.",,bug,yellow,,humanoid
542,543,V,Venipede,Fushide,Centipede Pokémon,bug,poison,"Venipede and Sizzlipede are similar species, but when the two meet, a huge fight ensues.",,bug,red,,armor
543,544,V,Whirlipede,Wheega,Curlipede Pokémon,bug,poison,This Pokémon spins itself rapidly and charges into its opponents. Its top speed is just over 60 mph.,,bug,gray,,ball
544,545,V,Scolipede,Pendror,Megapede Pokémon,bug,poison,Scolipede latches on to its prey with the claws on its neck before slamming them into the ground and jabbing them with its claws’ toxic spikes.,,bug,red,,armor
545,546,V,Cottonee,Monmen,Cotton Puff Pokémon,grass,fairy,"It shoots cotton from its body to protect itself. If it gets caught up in hurricane-strength winds, it can get sent to the other side of the Earth.",,plant,green,,ball
546,547,V,Whimsicott,Elfuun,Windveiled Pokémon,grass,fairy,"It scatters cotton all over the place as a prank. If it gets wet, it’ll become too heavy to move and have no choice but to answer for its mischief.",,plant,green,,humanoid
547,548,V,Petilil,Churine,Bulb Pokémon,grass,,Petilil appears around sources of clean water. Boiling leaves from this Pokémon’s head results in a liquid that’s sometimes used as a bug repellent.,,plant,green,,blob
548,549,V,Lilligant,Dredear,Flowering Pokémon,grass,,It’s believed that even first-rate gardeners have a hard time getting the flower on a Lilligant’s head to bloom.,,plant,green,,blob
549,550,V,Basculin,Bassrao,Hostile Pokémon,water,,Anglers love the fight this Pokémon puts up on the hook. And there are always more to catch— many people release them into lakes illicitly.,,water2,green,,fish
550,551,V,Sandile,Meguroco,Desert Croc Pokémon,ground,dark,"The desert gets cold at night, so when the sun sets, this Pokémon burrows deep into the sand and sleeps until sunrise.",,ground,brown,,quadruped
551,552,V,Krokorok,Waruvile,Desert Croc Pokémon,ground,dark,Krokorok has specialized eyes that enable it to see in the dark. This ability lets Krokorok hunt in the dead of night without getting lost.,,ground,brown,,quadruped
552,553,V,Krookodile,Waruvial,Intimidation Pokémon,ground,dark,This Pokémon is known as the Bully of the Sands. Krookodile’s mighty jaws can bite through heavy plates of iron with almost no effort at all.,,ground,red,,upright
553,554,V,Darumaka,Darumakka,Zen Charm Pokémon,fire,ice,"It derives its power from fire burning inside its body. If the fire dwindles, this Pokémon will immediately fall asleep.",,ground,red,,humanoid
554,555,V,Darmanitan,Hihidaruma,Blazing Pokémon,fire,fire,The thick arms of this hot-blooded Pokémon can deliver punches capable of obliterating a dump truck.,,ground,red,,quadruped
555,556,V,Maractus,Maracacchi,Cactus Pokémon,grass,,"With noises that could be mistaken for the rattles of maracas, it creates an upbeat rhythm, startling bird Pokémon and making them fly off in a hurry.",,plant,green,,blob
556,557,V,Dwebble,Ishizumai,Rock Inn Pokémon,bug,rock,"When it finds a stone appealing, it creates a hole inside it and uses it as its home. This Pokémon is the natural enemy of Roggenrola and Rolycoly.",,mineral,red,,armor
557,558,V,Crustle,Iwapalace,Stone Home Pokémon,bug,rock,This highly territorial Pokémon prefers dry climates. It won’t come out of its boulder on rainy days.,,mineral,red,,armor
558,559,V,Scraggy,Zuruggu,Shedding Pokémon,dark,fighting,"If it locks eyes with you, watch out! Nothing and no one is safe from the reckless headbutts of this troublesome Pokémon.",,dragon,yellow,,upright
559,560,V,Scrafty,Zuruzukin,Hoodlum Pokémon,dark,fighting,"As halfhearted as this Pokémon’s kicks may seem, they pack enough power to shatter Conkeldurr’s concrete pillars.",,dragon,red,,upright
560,561,V,Sigilyph,Symboler,Avianoid Pokémon,psychic,flying,Psychic power allows these Pokémon to fly. Some say they were the guardians of an ancient city. Others say they were the guardians’ emissaries.,,flying,black,,wings
561,562,V,Yamask,Desumasu,Spirit Pokémon,ghost,ground,"It wanders through ruins by night, carrying a mask that’s said to have been the face it had when it was still human.",,indeterminate,black,,arms
562,563,V,Cofagrigus,Desukarn,Coffin Pokémon,ghost,,This Pokémon has a body of sparkling gold. People say it no longer remembers that it was once human.,,indeterminate,yellow,,blob
563,564,V,Tirtouga,Protoga,Prototurtle Pokémon,water,rock,"This Pokémon inhabited ancient seas. Although it can only crawl, it still comes up onto land in search of prey.",,water3,blue,,quadruped
564,565,V,Carracosta,Abagoura,Prototurtle Pokémon,water,rock,"Carracosta completely devours its prey—bones, shells, and all. Because of this, Carracosta’s own shell grows thick and sturdy.",,water3,blue,,upright
565,566,V,Archen,Archen,First Bird Pokémon,rock,flying,"This Pokémon was successfully restored from a fossil. As research suggested, Archen is unable to fly. But it’s very good at jumping.",,water3,yellow,,wings
566,567,V,Archeops,Archeos,First Bird Pokémon,rock,flying,"It needs a running start to take off. If Archeops wants to fly, it first needs to run nearly 25 mph, building speed over a course of about 2.5 miles.",,water3,yellow,,wings
567,568,V,Trubbish,Yabukuron,Trash Bag Pokémon,poison,,"Its favorite places are unsanitary ones. If you leave trash lying around, you could even find one of these Pokémon living in your room.",,mineral,green,,humanoid
568,569,V,Garbodor,Dustdas,Trash Heap Pokémon,poison,,"This Pokémon eats trash, which turns into poison inside its body. The main component of the poison depends on what sort of trash was eaten.",,mineral,green,,humanoid
569,570,V,Zorua,Zorua,Tricky Fox Pokémon,dark,,Zorua is a timid Pokémon. This disposition seems to be what led to the development of Zorua’s ability to take on the forms of other creatures.,,ground,gray,,quadruped
570,571,V,Zoroark,Zoroark,Illusion Fox Pokémon,dark,,"This Pokémon cares deeply about others of its kind, and it will conjure terrifying illusions to keep its den and pack safe.",,ground,gray,,upright
571,572,V,Minccino,Chillarmy,Chinchilla Pokémon,normal,,The way it brushes away grime with its tail can be helpful when cleaning. But its focus on spotlessness can make cleaning more of a hassle.,,ground,gray,,quadruped
572,573,V,Cinccino,Chillaccino,Scarf Pokémon,normal,,Its body secretes oil that this Pokémon spreads over its nest as a coating to protect it from dust. Cinccino won’t tolerate even a speck of the stuff.,,ground,gray,,quadruped
573,574,V,Gothita,Gothimu,Fixation Pokémon,psychic,,"Though they’re still only babies, there’s psychic power stored in their ribbonlike feelers, and sometimes they use that power to fight.",,humanshape,purple,,humanoid
574,575,V,Gothorita,Gothimiru,Manipulate Pokémon,psychic,,"It’s said that when stars shine in the night sky, this Pokémon will spirit away sleeping children. Some call it the Witch of Punishment.",,humanshape,purple,,humanoid
575,576,V,Gothitelle,Gothiruselle,Astral Body Pokémon,psychic,,"It has tremendous psychic power, but it dislikes conflict. It’s also able to predict the future based on the movement of the stars.",,humanshape,purple,,humanoid
576,577,V,Solosis,Uniran,Cell Pokémon,psychic,,"It communicates with others telepathically. Its body is encapsulated in liquid, but if it takes a heavy blow, the liquid will leak out.",,indeterminate,green,,ball
577,578,V,Duosion,Doublan,Mitosis Pokémon,psychic,,Its psychic power can supposedly cover a range of more than half a mile—but only if its two brains can agree with each other.,,indeterminate,green,,ball
578,579,V,Reuniclus,Lanculus,Multiplying Pokémon,psychic,,"While it could use its psychic abilities in battle, this Pokémon prefers to swing its powerful arms around to beat opponents into submission.",,indeterminate,green,,arms
579,580,V,Ducklett,Koaruhie,Water Bird Pokémon,water,flying,"When attacked, it uses its feathers to splash water, escaping under cover of the spray.",,flying,blue,,wings
580,581,V,Swanna,Swanna,White Bird Pokémon,water,flying,"Despite their elegant appearance, they can flap their wings strongly and fly for thousands of miles.",,flying,white,,wings
581,582,V,Vanillite,Vanipeti,Fresh Snow Pokémon,ice,,"Unable to survive in hot areas, it makes itself comfortable by breathing out air cold enough to cause snow. It burrows into the snow to sleep.",,mineral,white,,blob
582,583,V,Vanillish,Vanirich,Icy Snow Pokémon,ice,,"By drinking pure water, it grows its icy body. This Pokémon can be hard to find on days with warm, sunny weather.",,mineral,white,,blob
583,584,V,Vanilluxe,Baivanilla,Snowstorm Pokémon,ice,,"When its anger reaches a breaking point, this Pokémon unleashes a fierce blizzard that freezes every creature around it, be they friend or foe.",,mineral,white,,heads
584,585,V,Deerling,Shikijika,Season Pokémon,normal,grass,Their coloring changes according to the seasons and can be slightly affected by the temperature and humidity as well.,,ground,pink,,quadruped
585,586,V,Sawsbuck,Mebukijika,Season Pokémon,normal,grass,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.,,ground,brown,,quadruped
586,587,V,Emolga,Emonga,Sky Squirrel Pokémon,electric,flying,"As Emolga flutters through the air, it crackles with electricity. This Pokémon is cute, but it can cause a lot of trouble.",,ground,white,,quadruped
587,588,V,Karrablast,Kaburumo,Clamping Pokémon,bug,,Its strange physiology reacts to electrical energy in interesting ways. The presence of a Shelmet will cause this Pokémon to evolve.,,bug,blue,,humanoid
588,589,V,Escavalier,Chevargo,Cavalry Pokémon,bug,steel,They use shells they’ve stolen from Shelmet to arm and protect themselves. They’re very popular Pokémon in the Galar region.,,bug,gray,,arms
589,590,V,Foongus,Tamagetake,Mushroom Pokémon,grass,poison,No one knows what the Poké Ball–like pattern on Foongus means or why Foongus has it.,,plant,white,,arms
590,591,V,Amoonguss,Morobareru,Mushroom Pokémon,grass,poison,"This Pokémon puffs poisonous spores at its foes. If the spores aren’t washed off quickly, they’ll grow into mushrooms wherever they land.",,plant,white,,arms
591,592,V,Frillish,Pururill,Floating Pokémon,water,ghost,"It envelops its prey in its veillike arms and draws it down to the deeps, five miles below the ocean’s surface.",,indeterminate,white,,tentacles
592,593,V,Jellicent,Burungel,Floating Pokémon,water,ghost,Most of this Pokémon’s body composition is identical to sea water. It makes sunken ships its lair.,,indeterminate,white,,tentacles
593,594,V,Alomomola,Mamanbou,Caring Pokémon,water,,"Fishermen take them along on long voyages, because if you have an Alomomola with you, there’ll be no need for a doctor or medicine.",,water2,pink,,fish
594,595,V,Joltik,Bachuru,Attaching Pokémon,bug,electric,Joltik can be found clinging to other Pokémon. It’s soaking up static electricity because it can’t produce a charge on its own.,,bug,yellow,,armor
595,596,V,Galvantula,Dentula,EleSpider Pokémon,bug,electric,It launches electrified fur from its abdomen as its means of attack. Opponents hit by the fur could be in for three full days and nights of paralysis.,,bug,yellow,,armor
596,597,V,Ferroseed,Tesseed,Thorn Seed Pokémon,grass,steel,"It defends itself by launching spikes, but its aim isn’t very good at first. Only after a lot of practice will it improve.",,mineral,gray,,ball
597,598,V,Ferrothorn,Nutrey,Thorn Pod Pokémon,grass,steel,"This Pokémon scrapes its spikes across rocks, and then uses the tips of its feelers to absorb the nutrients it finds within the stone.",,mineral,gray,,tentacles
598,599,V,Klink,Giaru,Gear Pokémon,steel,,The two minigears that compose this Pokémon are closer than twins. They mesh well only with each other.,,mineral,gray,,heads
599,600,V,Klang,Gigiaru,Gear Pokémon,steel,,"When Klang goes all out, the minigear links up perfectly with the outer part of the big gear, and this Pokémon’s rotation speed increases sharply.",,mineral,gray,,heads
600,601,V,Klinklang,Gigigiaru,Gear Pokémon,steel,,"From its spikes, it launches powerful blasts of electricity. Its red core contains an enormous amount of energy.",,mineral,gray,,heads
