name,ndex,category,bio,type1,type2
Dachsbun,0927,Dog,"The surface of this Pokémon’s skin hardens when exposed to intense heat, and its body has an appetizing aroma.",Fairy,
Chinchou,0170,Angler,"On the dark ocean floor, its only means of
communication is its constantly flashing lights.",Water,Electric
Buzzwole,0794,Swollen,"[NAME] goes around showing off its
abnormally swollen muscles. It is one kind
of Ultra Beast.",Bug,Fighting
Meganium,0154,Herb,"The fragrance of [NAME]’s flower soothes and calms
emotions. In battle, this Pokémon gives off more of its
becalming scent to blunt the foe’s fighting spirit.",Grass,
Corvisquire,0822,Raven,"The lessons of many harsh battles have taught it
how to accurately judge an opponent’s strength.",Flying,
Greninja,0658,Ninja,"It appears and vanishes with a ninja’s grace.
It toys with its enemies using swift movements, while
slicing them with throwing stars of sharpest water.",Water,Dark
Cinderace,0815,Striker,"It’s skilled at both offense and defense, and it
gets pumped up when cheered on. But if it starts
showboating, it could put itself in a tough spot.",Fire,
Espathra,0956,Ostrich,It emits psychic power from the gaps between its multicolored frills and sprints at speeds greater than 120 mph.,Psychic,
Gorebyss,0368,South Sea,"It sucks bodily fluids out of its prey. The
leftover meat sinks to the seafloor, where it
becomes food for other Pokémon.",Water,
Cubone,0104,Lonely,"This Pokémon wears the skull of its deceased
mother. Sometimes [NAME]’s dreams make it cry,
but each tear [NAME] sheds makes it stronger.",Ground,
Toedscruel,0949,Woodear,"It coils its 10 tentacles around prey and sucks out their nutrients, causing the prey pain. The folds along the rim of its head are a popular delicacy.",Ground,Grass
Fletchling,0661,Tiny Robin,"When this Pokémon gets excited, its body
temperature increases sharply. If you touch a
[NAME] with bare hands, you might get burned.",Normal,Flying
Espeon,0196,Sun,"Wields an arcane power with which it can predict the weather
and even people's thoughts. When bathed in sunshine, the
scarlet orb on its brow glows and builds energy.",Psychic,
Naclstack,0933,Rock Salt,It compresses rock salt inside its body and shoots out hardened salt pellets with enough force to perforate an iron sheet.,Rock,
Houndour,0228,Dark,"They make repeated eerie howls before dawn
to call attention to their pack.",Dark,Fire
Volcarona,0637,Sun,"This Pokémon emerges from a cocoon formed of
raging flames. Ancient murals depict [NAME] as
a deity of fire.",Bug,Fire
Varoom,0965,Single-Cyl,The steel section is [NAME]’s actual body. This Pokémon clings to rocks and converts the minerals within into energy to fuel its activities.,Steel,Poison
Regirock,0377,Rock Peak,"Cutting-edge technology was used to study
the internals of this Pokémon’s rock body, but
nothing was found—not even a brain or a heart.",Rock,
Lucario,0448,Aura,"A most gallant-looking creature. It emits energy waves and
controls them with precision, using them to sense even faraway
beings. I have given the name ”aura” to this power.",Fighting,Steel
Zebstrika,0523,Thunderbolt,"They have lightning-like movements.
When [NAME] run at full speed, the sound of
thunder reverberates.",Electric,
Kingdra,0230,Dragon,"Scales shed by this Pokémon have such a
splendorous gleam to them that they’ve been
given to royalty as gifts.",Water,Dragon
Cofagrigus,0563,Coffin,"There are many depictions of [NAME]
decorating ancient tombs. They’re symbols
of the wealth that kings of bygone eras had.",Ghost,
Gossifleur,0829,Flowering,"It whirls around in the wind while singing a joyous
song. This delightful display has charmed many
into raising this Pokémon.",Grass,
Kleavor,0900,Axe,"A violent creature that fells towering trees with its crude axes
and shields itself with hard stone. If one should chance upon
this Pokémon in the wilds, one's only recourse is to flee.",Bug,Rock
Roselia,0315,Thorn,"Though beautiful, it has highly poisonous thorns. There is an old
tradition in my homeland wherein one would send these thorns
to an opponent to challenge them to a duel.",Grass,Poison
Finizen,0963,Dolphin,Its water ring is made from seawater mixed with a sticky fluid that [NAME] secretes from its blowhole.,Water,
Dubwool,0832,Sheep,"Its majestic horns are meant only to impress the
opposite gender. They never see use in battle.",Normal,
Azumarill,0184,{{tt|Aqua Rabbit|AQUARABBIT in Generation II}},"These Pokémon create air-filled bubbles. When
Azurill play in rivers, [NAME] will cover them
with these bubbles.",Water,Fairy
Cetoddle,0974,Terra Whale,It lives in frigid regions in pods of five or so individuals. It loves the minerals found in snow and ice.,Ice,
Oranguru,0765,Sage,"It knows the forest inside and out. If it comes
across a wounded Pokémon, [NAME] will
gather medicinal herbs to treat it.",Normal,Psychic
Floragato,0907,Grass Cat,"The hardness of [NAME]’s fur depends on the Pokémon’s mood. When [NAME] is prepared to battle, its fur becomes pointed and needle sharp.",Grass,
Sandygast,0769,Sand Heap,"[NAME] mainly inhabits beaches. It takes
control of anyone who puts their hand into its
mouth, forcing them to make its body bigger.",Ghost,Ground
Nidorino,0033,Poison Pin,"It’s nervous and quick to act aggressively.
The potency of its poison increases along with
the level of adrenaline present in its body.",Poison,
Staryu,0120,{{tt|Star Shape|STARSHAPE before Generation III}},"Fish Pokémon nibble at it, but [NAME] isn’t
bothered. Its body regenerates quickly, even
if part of it is completely torn off.",Water,
Monferno,0391,Playful,"The deeper the blue on its face, the more powerful it will grow
to become. It leaps about every which way and lands powerful
blows against its opponents with the flame on its tail.",Fire,Fighting
Ampharos,0181,Light,"Its tail shines bright and strong. It has been
prized since long ago as a beacon for sailors.",Electric,
Iron Hands,0992,Paradox,"This Pokémon shares many similarities with [NAME], an object mentioned in a certain expedition journal.",Fighting,Electric
Bonsly,0438,Bonsai,"Its tears elicit sympathy from those who see them, but do
not be deceived! This expulsion of body water is merely a
physiological mechanism for keeping itself in good health.",Rock,
Shaymin,0492,Gratitude,"When the turning of seasons brings the cruel winter to its end
and the joyous people give thanks to the heavens, [NAME]
appears and covers the withered land with flowers.",Grass,
Tinkatink,0957,Metalsmith,This Pokémon pounds iron scraps together to make a hammer. It will remake the hammer again and again until it’s satisfied with the result.,Fairy,Steel
Weezing,0110,Poison Gas,"It can’t suck in air quite as well as a Galarian
[NAME], but the toxins it creates are more
potent than those of its counterpart.",Poison,
Meditite,0307,Meditate,"[NAME] heightens its inner energy through meditation.
It survives on just one berry a day. Minimal eating is another
aspect of this Pokémon’s training.",Fighting,Psychic
Salandit,0757,Toxic Lizard,"This sneaky Pokémon will slink behind its prey
and immobilize it with poisonous gas before the
prey even realizes [NAME] is there.",Poison,Fire
Scorbunny,0813,Rabbit,"It has special pads on the backs of its feet, and
one on its nose. Once it’s raring to fight, these
pads radiate tremendous heat.",Fire,
Drampa,0780,Placid,"[NAME] is a kind and friendly Pokémon—up until
it’s angered. When that happens, it stirs up a
gale and flattens everything around.",Normal,Dragon
Finneon,0456,Wing Fish,"What a gorgeous sight this Pokémon is as it swims with its long,
pink-painted caudal fins fluttering behind it. [NAME]'s beautiful
appearance has led to its nickname: ”finery fish.”",Water,
Simisear,0514,Ember,"When it gets excited, embers rise from its head
and tail and it gets hot. For some reason, it
loves sweets.",Fire,
Gourgeist,0711,Pumpkin,"In the darkness of a new-moon night, [NAME]
will come knocking. Whoever answers the door
will be swept off to the afterlife.",Ghost,Grass
Urshifu,0892,Wushu,"Inhabiting the mountains of a distant region, this
Pokémon races across sheer cliffs, training its legs
and refining its moves.",Fighting,Dark
Tadbulb,0938,EleTadpole,"It floats using the electricity stored in its body. When thunderclouds are around, [NAME] will float higher off the ground.",Electric,
Tranquill,0520,Wild Pigeon,"These bright Pokémon have acute memories.
Apparently delivery workers often choose them
as their partners.",Normal,Flying
Huntail,0367,Deep Sea,"Deep seas are their habitat. According to
tradition, when [NAME] wash up onshore,
something unfortunate will happen.",Water,
Shelmet,0616,Snail,"It has a strange physiology that responds to
electricity. When together with Karrablast,
[NAME] evolves for some reason.",Bug,
Solosis,0577,Cell,"Many say that the special liquid covering this
Pokémon’s body would allow it to survive in
the vacuum of space.",Psychic,
Heatmor,0631,Anteater,"A flame serves as its tongue, melting through the
hard shell of Durant so that [NAME] can devour
their insides.",Fire,
Tatsugiri,0978,Mimicry,"[NAME] is an extremely cunning Pokémon. It feigns weakness to lure in prey, then orders its partner to attack.",Dragon,Water
Mudbray,0749,Donkey,"It eats dirt to create mud and smears this mud all
over its feet, giving them the grip needed to walk
on rough terrain without slipping.",Ground,
Cresselia,0488,Lunar,"[NAME] is reminiscent of the crescent moon. It leaves a brilliant
line of light in its wake as it flies across the night sky. I daresay
it resembles the heavenly maiden who created the Milky Way.",Psychic,
Petilil,0548,Bulb,"The leaves on its head are highly valued for medicinal purposes.
Dry the leaves in the sun, boil them, and then drink the bitter
decoction for remarkably effective relief from fatigue.",Grass,
Blitzle,0522,Electrified,"Its mane shines when it discharges electricity.
They use the frequency and rhythm of these flashes
to communicate.",Electric,
Palpitoad,0536,Vibration,"On occasion, their cries are sublimely pleasing to
the ear. [NAME] with larger lumps on their
bodies can sing with a wider range of sounds.",Water,Ground
Surskit,0283,Pond Skater,"It lives in ponds and marshes that feature lots
of plant life. It often fights with Dewpider,
whose habitat and diet are similar.",Bug,Water
Drapion,0452,Ogre Scorpion,"Has a brutish, ferocious temperament. With immense strength
and a sturdy shell off which swords will bounce, it rampages
about and wreaks havoc.",Poison,Dark
Virizion,0640,Grassland,"It darts around opponents with a flurry of quick
movements, slicing them up with its horns.",Grass,Fighting
Doublade,0680,Sword,"The two swords employ a strategy of rapidly
alternating between offense and defense to
bring down their prey.",Steel,Ghost
Lombre,0271,Jolly,"It lives at the water’s edge where it is sunny.
It sleeps on a bed of water grass by day and
becomes active at night.",Water,Grass
Slakoth,0287,Slacker,"[NAME]’s heart beats just once a minute. Whatever happens,
it is content to loaf around motionless. It is rare to see this
Pokémon in motion.",Normal,
Chesnaught,0652,Spiny Armor,"When it takes a defensive posture with its fists
guarding its face, it could withstand a bomb blast.",Grass,Fighting
Venomoth,0049,{{tt|Poison Moth|POISONMOTH before Generation III}},"The powdery scales on its wings are hard to
remove from skin. They also contain poison
that leaks out on contact.",Bug,Poison
Chingling,0433,Bell,"This Pokémon gave me an excruciating headache when it
seemingly cried out without making a sound. Perhaps there are
some sounds that the human ear is simply incapable of hearing.",Psychic,
Pidgeotto,0017,Bird,"This Pokémon is full of vitality. It constantly flies
around its large territory in search of prey.",Normal,Flying
Galvantula,0596,EleSpider,"It lays traps of electrified threads near the nests
of bird Pokémon, aiming to snare chicks that are
not yet good at flying.",Bug,Electric
Starmie,0121,Mysterious,"[NAME] swims by spinning its body at high speed.
As this Pokémon cruises through the ocean, it
absorbs tiny plankton.",Water,Psychic
Xatu,0178,Mystic,"This odd Pokémon can see both the past and
the future. It eyes the sun’s movement all day.",Psychic,Flying
Iron Crown,1023,Paradox,There was supposedly an incident in which it launched shining blades to cut everything around it to pieces. Little else is known about it.,Steel,Psychic
Trapinch,0328,Ant Pit,"It makes an inescapable conical pit and lies in
wait at the bottom for prey to come
tumbling down.",Ground,
Gallade,0475,Blade,"The blades extending from its elbows are sharper than the
finest swords. Its swordsmanship, albeit self-taught, is
astonishingly impressive.",Psychic,Fighting
Azurill,0298,Polka Dot,"Although [NAME] are normally docile, an angry
one will swing around the big ball on its tail and
try to smash its opponents.",Normal,Fairy
Shellos,0422,Sea Slug,"Found in abundance on seashores bordering warm waters.
[NAME] are unexpectedly friendly and will crawl toward any
person they see. Take care not to get coated in mucus!",Water,
Chi-Yu,1004,Ruinous,The envy accumulated within curved beads that sparked multiple conflicts has clad itself in fire and become a Pokémon.,Dark,Fire
Duosion,0578,Mitosis,"Its brain has split into two, and the two
halves rarely think alike. Its actions are
utterly unpredictable.",Psychic,
Clefable,0036,Fairy,"Legend says that on clear, quiet nights, it listens for the voices
of its kin living on the moon. I, too, often think of my homeland,
so far away.",Fairy,
Probopass,0476,Compass,"It is able to emit powerful magnetism, allowing it control over
the iron sand that forms its luscious mustache. Using this iron
sand, [NAME] forms hard stones with which it smites its prey.",Rock,Steel
Skrelp,0690,Mock Kelp,"[NAME] looks like a piece of rotten seaweed, so it
can blend in with seaweed drifting on the ocean
and avoid being detected by enemies.",Poison,Water
Igglybuff,0174,Balloon,"Taking advantage of the softness of its body,
[NAME] moves as if bouncing. Its body turns a
deep pink when its temperature rises.",Normal,Fairy
Nosepass,0299,Compass,"Once the people of Hisui discovered that its red nose always
points north, they grew to rely on it greatly when traveling afar.
The nose seems to work in a similar way to ancient compasses.",Rock,
Cramorant,0845,Gulp,"This hungry Pokémon swallows Arrokuda whole.
Occasionally, it makes a mistake and tries to
swallow a Pokémon other than its preferred prey.",Flying,Water
Arbok,0024,Cobra,"The frightening patterns on its belly have been
studied. Six variations have been confirmed.",Poison,
Chespin,0650,Spiny Nut,"Such a thick shell of wood covers its head and back
that even a direct hit from a truck wouldn’t faze it.",Grass,
Simipour,0516,Geyser,"It prefers places with clean water. When its tuft runs
low, it replenishes it by siphoning up water with
its tail.",Water,
Pidgeot,0018,Bird,"This Pokémon flies at Mach 2 speed,
seeking prey. Its large talons are feared
as wicked weapons.",Normal,Flying
Beautifly,0267,Butterfly,"A colorful and incredibly beautiful but also greedy Pokémon.
In an effort to keep its favorite food all to itself, it will chase
away Combee as they try to gather nectar.",Bug,Flying
Garchomp,0445,Mach,"Soars across the heavens at blinding speed—a magnificent sight!
It has a feral disposition. Utmost caution is required if one
meets a [NAME] out in the wilds.",Dragon,Ground
Yungoos,0734,Loitering,"Although it will eat anything, it prefers fresh
living things, so it marches down streets
in search of prey.",Normal,
Vullaby,0629,Diapered,"[NAME] grow quickly. Bones that have gotten too
small for older [NAME] to wear often get passed
down to younger ones in the nest.",Dark,Flying
Araquanid,0752,Water Bubble,"It acts as a caretaker for Dewpider, putting them
inside its bubble and letting them eat any
leftover food.",Water,Bug
Primeape,0057,Pig Monkey,"It stops being angry only when nobody else
is around. To view this moment is very difficult.",Fighting,
Cutiefly,0742,Bee Fly,"An opponent’s aura can tell [NAME] what that
opponent’s next move will be. Then [NAME] can
glide around the attack and strike back.",Bug,Fairy
Spidops,0918,Trap,"[NAME] covers its territory in tough, sticky threads to set up traps for intruders.",Bug,
Cradily,0346,Barnacle,"Once [NAME] catches prey in its tentacles,
it digests them whole and absorbs their nutrients.",Rock,Grass
Baxcalibur,0998,Ice Dragon,It launches itself into battle by flipping upside down and spewing frigid air from its mouth. It finishes opponents off with its dorsal blade.,Dragon,Ice
Bellibolt,0939,EleFrog,What appear to be eyeballs are actually organs for discharging the electricity generated by [NAME]’s belly-button dynamo.,Electric,
Quilladin,0651,Spiny Armor,"They strengthen their lower bodies by
running into one another. They are very
kind and won’t start fights.",Grass,
Pyukumuku,0771,Sea Cucumber,"It’s covered in a slime that keeps its skin moist,
allowing it to stay on land for days without
drying up.",Water,
Grotle,0388,Grove,"Appears where there is clean spring water. The fruit that grows
on the shrubs on its shell is sweet, nutritious, and truly delicious.",Grass,
Great Tusk,0984,Paradox,"This creature resembles a mysterious Pokémon that, according to a paranormal magazine, has lived since ancient times.",Ground,Fighting
Deerling,0585,Season,"The turning of the seasons changes the color and
scent of this Pokémon’s fur. People use it to mark
the seasons.",Normal,Grass
Sneasler,0903,Free Climb,"Because of [NAME]'s virulent poison and daunting physical
prowess, no other species could hope to best it on the frozen
highlands. Preferring solitude, this species does not form packs.",Fighting,Poison
Tinkaton,0959,Hammer,"The hammer tops 220 pounds, yet it gets swung around easily by [NAME] as it steals whatever it pleases and carries its plunder back home.",Fairy,Steel
Centiskorch,0851,Radiator,"While its burning body is already dangerous on
its own, this excessively hostile Pokémon also has
large and very sharp fangs.",Fire,Bug
Graveler,0075,Rock,"Dwells in holes dug into sheer walls of stone. It enjoys rolling
down slopes as though it were a boulder during a rockfall,
so keep an eye upward while traversing mountain roads.",Rock,Ground
Terrakion,0639,Cavern,"In Unovan legend, [NAME] battled against
humans in an effort to protect other Pokémon.",Rock,Fighting
Sneasel,0215,Sharp Claw,"Its sturdy, curved claws are ideal for traversing precipitous cliffs.
From the tips of these claws drips a venom that infiltrates the
nerves of any prey caught in [NAME]'s grasp.",Dark,Ice
Dipplin,1011,Candy Apple,"The head sticking out belongs to the fore-wyrm, while the tail belongs to the core-wyrm. The two share one apple and help each other out.",Grass,Dragon
Dewott,0502,Discipline,"Its exquisite double-scalchop technique is likely the result of
daily training, and it can send even masters of the blade fleeing
in defeat.",Water,
Arceus,0493,Alpha,"It is the heavenly fount from which pours the light that shines
across Hisui. Its luminance guides and protects all Pokémon.
Hisuian mythology states that [NAME] is the creator of all things.",Normal,
Stoutland,0508,Big-Hearted,"[NAME] is immensely proud of its impressive
moustache. It’s said that moustache length is what
determines social standing among this species.",Normal,
Togepi,0175,Spike Ball,"This ovate creature is frequently mistaken for a moving egg
when encountered out in the fields or in the mountains.
Its guileless smile soothes the soul.",Fairy,
Metapod,0011,Cocoon,"Even though it is encased in a sturdy shell,
the body inside is tender. It can’t withstand a
harsh attack.",Bug,
Sewaddle,0540,Sewing,"Since this Pokémon makes its own clothes out of
leaves, it is a popular mascot for fashion designers.",Bug,Grass
Skeledirge,0911,Singer,"[NAME]’s gentle singing soothes the souls of all that hear it. It burns its enemies to a crisp with flames of over 5,400 degrees Fahrenheit.",Fire,Ghost
Slowpoke,0079,Dopey,"When this Pokémon’s tail is soaked in water,
sweetness seeps from it. [NAME] uses this trait
to lure in and fish up other Pokémon.",Water,Psychic
Sigilyph,0561,Avianoid,"A discovery was made in the desert where
[NAME] fly. The ruins of what may have been
an ancient city were found beneath the sands.",Psychic,Flying
Seadra,0117,Dragon,"[NAME]’s mouth is slender, but its suction power
is strong. In an instant, [NAME] can suck in food
that’s larger than the opening of its mouth.",Water,
Nacli,0932,Rock Salt,"The ground scrapes its body as it travels, causing it to leave salt behind. Salt is constantly being created and replenished inside [NAME]’s body.",Rock,
Mime Jr.,0439,Mime,"Known to turn up in bustling marketplaces now and again.
It mimics people much as a child would, then watches how they
react, eyes sparkling.",Psychic,Fairy
Staravia,0397,Starling,"They form remarkably large flocks and are constantly fighting
amongst themselves. I suspect that those with magnificent
plumes on their heads are the strong ones.",Normal,Flying
Ariados,0168,Long Leg,"It spews threads from its mouth to catch its
prey. When night falls, it leaves its web to go
hunt aggressively.",Bug,Poison
Thwackey,0811,Beat,"When it’s drumming out rapid beats in battle, it
gets so caught up in the rhythm that it won’t even
notice that it’s already knocked out its opponent.",Grass,
Persian,0053,Classy Cat,"Its elegant and refined behavior clashes with that
of the barbaric Perrserker. The relationship
between the two is one of mutual disdain.",Normal,
Lileep,0345,Sea Lily,"[NAME] clings to rocks on the seabed. When prey
comes close, this Pokémon entangles it with
petallike tentacles.",Rock,Grass
Whiscash,0340,Whiskers,"Strikes its caudal fin against the swamp bed to shake the ground
and startle its prey. It will then swallow the fleeing prey whole.
People mistook this behavior as the cause of earthquakes.",Water,Ground
Cetitan,0975,Terra Whale,"Ice energy builds up in the horn on its upper jaw, causing the horn to reach cryogenic temperatures that freeze its surroundings.",Ice,
Giratina,0487,Renegade,"There is one Hisuian verse that tells of a powerful light creating
a deep shadow. I imagine that this deep shadow is [NAME].",Ghost,Dragon
Poliwhirl,0061,Tadpole,"This Pokémon’s sweat is a slimy mucus. When
captured, [NAME] can slither from its enemies’
grasp and escape.",Water,
Cryogonal,0615,Crystallizing,"When the weather gets hot, these Pokémon turn
into water vapor. [NAME] are almost never
seen during summer.",Ice,
Wingull,0278,Seagull,"It soars on updrafts without flapping its wings.
It makes a nest on sheer cliffs at the sea’s edge.",Water,Flying
Mothim,0414,Moth,"Scatters steel-colored scales as it flaps its wings. Despite
being observed feeding primarily on the nectar of flowers,
[NAME] is not often seen around flower gardens.",Bug,Flying
Quaquaval,0914,Dancer,"Dancing in ways that evoke far-away places, this Pokémon mesmerizes all that see it. Flourishes of its decorative water feathers slice into its foes.",Water,Fighting
Tyrantrum,0697,Despot,"A single bite of [NAME]’s massive jaws will
demolish a car. This Pokémon was the king of the
ancient world.",Rock,Dragon
Nuzleaf,0274,Wily,"They live in holes bored in large trees. The sound
of [NAME]’s grass flute fills listeners with dread.",Grass,Dark
Gogoat,0673,Mount,"They inhabit mountainous regions.
The leader of the herd is decided by
a battle of clashing horns.",Grass,
Steenee,0762,Fruit,"Any Corvisquire that pecks at this
Pokémon will be greeted with a smack from
its sepals followed by a sharp kick.",Grass,
Masquerain,0284,Eyeball,"Its thin, winglike antennae are highly absorbent.
It waits out rainy days in tree hollows.",Bug,Flying
Paras,0046,Mushroom,"Sometimes seen at the foot of trees in humid forests.
The mushrooms on its back—called tochukaso—are not present
on infant specimens and instead emerge as [NAME] matures.",Bug,Grass
Arctovish,0883,Fossil,"The skin on its face is impervious to attack, but
breathing difficulties made this Pokémon go
extinct anyway.",Water,Ice
Aurorus,0699,Tundra,"When gripped by rage, [NAME] will emanate
freezing air, covering everything around it in ice.",Rock,Ice
Nidoqueen,0031,Drill,"It pacifies offspring by placing them in the gaps
between the spines on its back. The spines will
never secrete poison while young are present.",Poison,Ground
Karrablast,0588,Clamping,"It spits a liquid from its mouth to melt through
Shelmet’s shell. [NAME] doesn’t eat the shell—
it eats only the contents.",Bug,
Wugtrio,0961,Garden Eel,"A variety of fish Pokémon, [NAME] was once considered to be a regional form of Dugtrio.",Water,
Loudred,0294,Big Voice,"The force of this Pokémon’s loud voice isn’t just
the sound—it’s also the wave of air pressure that
blows opponents away and damages them.",Normal,
Roserade,0407,Bouquet,"Hidden within the bouquet on each hand are thorned whips
loaded with virulent poison. [NAME] moves gracefully as it
corners its prey and mercilessly lashes them with its whips.",Grass,Poison
Plusle,0311,Cheering,"When [NAME] is cheering on its partner, it flashes with electric
sparks from all over its body. If its partner loses, this Pokémon
cries loudly.",Electric,
Floatzel,0419,Sea Weasel,"Has a long, rather splendid flotation sac, which prevents
[NAME] from drowning even in stormy seas. One might glimpse
this species around fishing hamlets from time to time.",Water,
Noctowl,0164,Owl,"When it needs to think, it rotates its head
180 degrees to sharpen its intellectual power.",Normal,Flying
Brute Bonnet,0986,Paradox,It bears a slight resemblance to a Pokémon described in a dubious magazine as a cross between a dinosaur and a mushroom.,Grass,Dark
Cloyster,0091,Bivalve,"Once it slams its shell shut, it is impossible to
open, even by those with superior strength.",Water,Ice
Zarude,0893,Rogue Monkey,"Once the vines on [NAME]’s body tear off, they
become nutrients in the soil. This helps the plants
of the forest grow.",Dark,Grass
Snorlax,0143,Sleeping,"This glutton appears in villages without warning and devours the
entirety of their rice granaries—such occurrences have long been
counted among the gravest of disasters.",Normal,
Solgaleo,0791,Sunne,"[NAME] was once known as the Beast That
Devours the Sun. Energy in the form of light
radiates boundlessly from it.",Psychic,Steel
Pineco,0204,Bagworm,"It sticks tree bark to itself with its saliva,
making itself thicker and larger. Elderly [NAME]
are ridiculously huge.",Bug,
Grubbin,0736,Larva,"It uses its big jaws to dig nests into the forest
floor, and it loves to feed on sweet tree sap.",Bug,
Prinplup,0394,Penguin,"It swims gracefully through the frigid sea and sings with a voice
like the roaring tide. It has powerful, sturdy wings and dignity
to match.",Water,
Clauncher,0692,Water Gun,"By detonating gas that accumulates in its right
claw, this Pokémon launches water like a bullet.
This is how [NAME] defeats its enemies.",Water,
Armarouge,0936,Fire Warrior,"This Pokémon clads itself in armor that has been fortified by psychic and fire energy, and it shoots blazing fireballs.",Fire,Psychic
Wattrel,0940,Storm Petrel,"These Pokémon make their nests on coastal cliffs. The nests have a strange, crackling texture, and they’re a popular delicacy.",Electric,Flying
Thundurus,0642,Bolt Strike,"They say this wielder of electricity has waged war with its
nemesis, Tornadus, since time immemorial. The lightning bolts
it hurls pierce the very earth and enrich the soil.",Electric,Flying
Mudkip,0258,Mud Fish,"In water, [NAME] breathes using the gills on its cheeks. If it is
faced with a tight situation in battle, this Pokémon will unleash
its amazing power—it can crush rocks bigger than itself.",Water,
Shroodle,0944,Toxic Mouse,"To keep enemies away from its territory, it paints markings around its nest using a poisonous liquid that has an acrid odor.",Poison,Normal
Komala,0775,Drowsing,"It remains asleep from birth to death as a result
of the sedative properties of the leaves that
form its diet.",Normal,
Pawniard,0624,Sharp Blade,"A pack of these Pokémon forms to serve a
Bisharp boss. Each [NAME] trains diligently,
dreaming of one day taking the lead.",Dark,Steel
Starly,0396,Starling,"They live in the fields and mountains, gathering in large flocks.
Their cries are quite obnoxious. Though small, their wings are
strong—a strike from them leaves pain that persists for a week.",Normal,Flying
Perrserker,0863,Viking,"After many battles, it evolved dangerous
claws that come together to form daggers
when extended.",Steel,
Hariyama,0297,Arm Thrust,"[NAME] that are big and fat aren’t necessarily
strong. There are some small ones that move
nimbly and use moves skillfully.",Fighting,
Alomomola,0594,Caring,"The reason it helps Pokémon in a weakened
condition is that any Pokémon coming after
them may also attack [NAME].",Water,
Rufflet,0627,Eaglet,"Its chick-like looks belie its hotheadedness. It challenges its
parents at every opportunity, desperate to prove its strength.",Normal,Flying
Sinistcha,1013,Matcha,"It prefers cool, dark places, such as the back of a shelf or the space beneath a home's floorboards. It wanders in search of prey after sunset.",Grass,Ghost
Glameow,0431,Catty,"Bewitches humans with its helical tail and piercing gaze.
Its hidden claws are quite sharp as well, making this Pokémon
an exceedingly tricky opponent if antagonized.",Normal,
Onix,0095,Rock Snake,"This chain of immense stones resembles a giant serpent. Tremors
shake the earth above as it burrows deep beneath the ground,
feeding on boulders as it goes.",Rock,Ground
Sealeo,0364,Ball Roll,"Its white whiskers are very sensitive. [NAME] will balance Spheal
on the tip of its nose, checking its scent and its feel to be sure
the Spheal is healthy.",Ice,Water
Exeggcute,0102,Egg,"These Pokémon get nervous when they’re not in a
group of six. The minute even one member of the
group goes missing, [NAME] become cowardly.",Grass,Psychic
Diancie,0719,Jewel,"It can instantly create many diamonds
by compressing the carbon in the air
between its hands.",Rock,Fairy
Jumpluff,0189,Cottonweed,"[NAME] rides warm southern winds to cross the sea and fly to
foreign lands. The Pokémon descends to the ground when it
encounters cold air while it is floating.",Grass,Flying
Miraidon,1008,Paradox,This seems to be the Iron Serpent mentioned in an old book. The Iron Serpent is said to have turned the land to ash with its lightning.,Electric,Dragon
Stakataka,0805,Rampart,"When stone walls started moving and attacking,
the brute’s true identity was this mysterious
life-form, which brings to mind an Ultra Beast.",Rock,Steel
Weepinbell,0070,Flycatcher,"When hungry, it swallows anything that moves.
Its hapless prey is dissolved by strong acids.",Grass,Poison
Glastrier,0896,Wild Horse,"[NAME] has tremendous physical strength, and
the mask of ice covering its face is 100 times
harder than diamond.",Ice,
Nickit,0827,Fox,"Cunning and cautious, this Pokémon survives by
stealing food from others. It erases its tracks with
swipes of its tail as it makes off with its plunder.",Dark,
Quagsire,0195,Water Fish,"Its body is always slimy. It often bangs its head
on the river bottom as it swims but seems not
to care.",Water,Ground
Snom,0872,Worm,"It eats snow that piles up on the ground.
The more snow it eats, the bigger and more
impressive the spikes on its back grow.",Ice,Bug
Claydol,0344,Clay Doll,"It appears to have been born from clay dolls
made by ancient people. It uses telekinesis to
float and move.",Ground,Psychic
Croconaw,0159,Big Jaw,"Once [NAME] has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in.",Water,
Hippowdon,0450,Heavyweight,"Short-tempered and easily moved to violence. It whips up
whirlwinds of sand to crush its foes' spirits, then goes in for
the attack.",Ground,
Greedent,0820,Greedy,"Common throughout the Galar region, this
Pokémon has strong teeth and can chew
through the toughest of berry shells.",Normal,
Skitty,0300,Kitten,"[NAME] is known to chase around playfully after its own tail.
In the wild, this Pokémon lives in holes in the trees of forests.
It is very popular as a pet because of its adorable looks.",Normal,
Drilbur,0529,Mole,"It’s a digger, using its claws to burrow through the
ground. It causes damage to vegetable crops, so
many farmers have little love for it.",Ground,
Dusclops,0356,Beckon,"There are rumors that peeking inside its bandage-wrapped body
will cause one to get pulled in through the gaps between the
bandages, never to return. I've been too scared to verify.",Ghost,
Zorua,0570,{{tt|Tricky Fox|Zorua}},"A once-departed soul, returned to life in Hisui. Derives power
from resentment, which rises as energy atop its head and takes
on the forms of foes. In this way, [NAME] vents lingering malice.",Dark,
Gothita,0574,Fixation,"Even when nobody seems to be around, [NAME]
can still be heard making a muted cry. Many believe
it’s speaking to something only it can see.",Psychic,
